geko_category_id,name,path,parent_geko_category_id
105663,Plaster Grinders,Spare Parts\Plaster Grinders,
106238,Sweatshirts,Health and Safety Articles\Work Clothes\Sweatshirts,
106239,Work Trousers,Health and Safety Articles\Work Clothes\Work Trousers,
107814,Wood Processing,Power Tools\Wood Processing,
107866,190mm,Abrasive Materials\Discs for Orbital-rotary Sanders\190mm,
105841,Cordless Tools,Spare Parts\Cordless Tools,
107864,Discs for Bench Grinders,Abrasive Materials\Discs for Bench Grinders,
107813,SDS-Plus Hammer Drills,Power Tools\SDS-Plus Hammer Drills,
105902,Branch Shredders,Spare Parts\Branch Shredders,
106007,T-shirts,Health and Safety Articles\Work Clothes\T-shirts,
106006,Polo Shirts,Health and Safety Articles\Work Clothes\Polo Shirts,
107948,Accessories for Multi-functional Oscillating Tools,Cutting Tools\Saws and Saw Blades\Accessories for Multi-functional Oscillating Tools,
107740,Cleaning Devices,Household Items\Cleaning Devices,
107758,Electric Motors,Garden\Electric Motors,
107771,Profile Detectors,Laser Tools\Profile Detectors,
107839,Adjustable Reamers,Cutting Tools\Drilling\Drills for Metal\Adjustable Reamers,
107736,Multi-tools,Tourist Equipment and Accessories\Multi-tools,
112528,Materiały do znakowania,Construction and Renovation\Materiały do znakowania,
107796,Electric Meters,Tools for Electricians\Electric Meters,
107770,Laser Levels,Laser Tools\Laser Levels,
106000,Work Clothes,Health and Safety Articles\Work Clothes,
108637,Electric Saws,Spare Parts\Electric Saws,
106397,Electric Lawn Mowers,Spare Parts\Electric Lawn Mowers,
106448,Electric Plane,Spare Parts\Electric Plane,
106728,4in1 Trimmer,Spare Parts\4in1 Trimmer,
106928,Reflective Vests,Health and Safety Articles\Reflective Vests,
106929,Rainwear,Health and Safety Articles\Rainwear,
107774,Multi-process Devices,Welding Equipment and Accessories\Multi-process Devices,
105476,Circulation Pumps for Central Heating and Hot Water,Tools for Plumbers\Circulation Pumps for Central Heating and Hot Water,
107804,"Tools for PEX, PERT Pipes","Tools for Plumbers\Tools for PEX, PERT Pipes",
107919,Car Ramps,Tools for The Workshop and Garage\Car Lifts\Car Ramps,
107900,Jumper Cables,Tools for The Workshop and Garage\Specialized Tools for Vehicles\Battery Maintenance Tools\Jumper Cables,
107896,Weed Heat Guns,Garden\Weed Heat Guns,
107613,Kitchen and Bathroom Scales,Household Items\Kitchen and Bathroom Scales,
107326,"Bags, Tool Backpacks","Tools for The Workshop and Garage\Bags, Tool Backpacks",
107895,Ponds,Garden\Ponds,
106916,Compactors,Spare Parts\Compactors,
107575,Vacuum Cleaner Parts,Spare Parts\Vacuum Cleaner Parts,
107962,Jackets,Health and Safety Articles\Work Clothes\Jackets,
107748,Garden Hoses,Garden\Garden Hoses,
107614,Fans,Household Items\Fans,
109133,Garbage Bags,Household Items\Garbage Bags,
107615,Safes and Boxes,Household Items\Safes and Boxes,
107826,Others,Tools for The Workshop and Garage\Others,
106411,Household Items,Household Items,
107943,Saws and Saw Blades,Cutting Tools\Saws and Saw Blades,
107551,Parts for Toilet Pump,Spare Parts\Parts for Toilet Pump,
108939,M14 Diamond Hole Saws,Cutting Tools\Diamond Tools\M14 Diamond Hole Saws,
107960,Insect and Rodent Repellents,Household Items\Insect and Rodent Repellents,
107961,"Rotary Files for Metal, Milling Cutters","Cutting Tools\Drilling\Drills for Metal\Rotary Files for Metal, Milling Cutters",
107940,Polyurethane Straight Hoses,Pneumatics\Pneumatic Installation Accessories\Polyurethane Straight Hoses,
107048,Impact Drills,Power Tools\Impact Drills,
107963,Impact Drills,Spare Parts\Impact Drills,
107966,Orbital Sanders,Spare Parts\Orbital Sanders,
107765,Voltage Testers,Measuring Tools\Voltage Testers,
