productid,ean
1029,5901477102011
1030,5901477102028
1031,5901477102035
1032,5901477102042
1033,5901477113703
1034,5901477120084
1035,5901477121319
1036,5901477121326
1143,5901477120787
1037,5901477121333
1039,5901477120916
1040,5901477102448
1041,5901477102455
1042,5901477102462
1043,5901477102479
1044,5901477102486
1144,5901477103704
1145,5901477103711
1046,5901477102509
1047,5901477102516
1048,5901477102523
1049,5901477102530
1050,5901477102547
1051,5901477102554
1052,5901477102561
1053,
1054,5901477102578
1055,5901477102585
1057,5901477102592
1058,5901477102608
1146,5901477103728
1059,5901477102615
1060,5901477102622
1061,5901477102639
1063,5901477102646
1064,5901477102653
1067,5901477102844
1068,5901477102851
1069,5901477102868
1070,5901477102875
1071,5901477102899
1148,5901477103735
1075,5901477102912
1077,5901477102936
1079,5901477102950
1080,5901477126925
1081,5901477102967
1086,5901477115349
1151,5901477103766
1087,5901477115356
1088,5901477115363
1089,5901477103049
1090,5901477103056
1091,5901477103063
1092,5901477103070
1093,5901477103087
1094,5901477103094
1095,5901477103100
1096,5901477103117
1099,5901477103131
1100,5901477103148
1149,5901477103742
1101,5901477103155
1102,5901477103162
1103,5901477103179
1104,5901477103186
1105,5901477103193
1106,5901477103209
1107,5901477103216
1109,5901477103223
1110,5901477103230
1111,5901477103247
1112,5901477103506
1113,5901477103513
1114,5901477103537
1115,5901477103544
1116,5901477103520
1117,5901477103551
1118,5901477103568
1121,5901477103582
1125,5901477103605
1126,5901477103476
1127,5901477103483
1128,5901477103490
1130,5901477103612
1131,5901477103629
1132,5901477103636
1133,5901477103643
1152,5901477129629
1153,5901477103780
1154,5901477103797
1155,5901477103803
1156,5901477103810
1157,5901477103827
1161,5901477103834
1162,5901477103841
1170,5901477104473
1171,5901477104480
1172,5901477104503
1173,5901477116391
1174,5901477104497
1505,5901477113925
1175,5901477104510
1176,5901477116445
1177,5901477116452
1179,5901477104527
1180,5901477104534
1507,5901477106200
1181,5901477104541
1182,5901477104558
1183,5901477104565
1184,5901477104572
1185,5901477104589
6847,5901477155604
1186,5901477104596
1187,5901477104602
1189,5901477116476
1190,5901477104619
1191,5901477116407
1509,5901477113949
1192,5901477104626
1194,5901477116421
1195,5901477116438
1198,5901477116513
1199,5901477116506
1200,5901477116520
1201,5901477113734
1202,5901477113741
1203,5901477113758
1204,5901477113765
1205,5901477113772
1206,5901477113789
1207,5901477113796
1208,5901477113802
1209,5901477113819
1210,5901477113826
1212,5901477113840
1213,5901477113857
1215,5901477113871
1216,5901477113888
2587,5901477109805
1218,5901477126406
1219,5901477126413
1220,5901477126420
1221,5901477126437
1510,5901477106224
1222,5901477126444
1223,5901477126451
1224,5901477126468
1225,5901477126475
1226,5901477126482
1227,5901477126499
1228,5901477126505
1229,5901477126512
1230,5901477117978
1511,5901477104114
1231,5901477126666
1232,5901477135668
1233,5901477118012
1234,5901477125683
1515,5901477106330
1516,5901477106347
1235,5901477125805
1236,5901477121593
1237,5901477114717
1238,5901477113116
1239,5901477113710
1517,5901477106354
1518,5901477106361
1240,5901477115684
1241,5901477115691
1242,5901477120992
1243,5901477122637
1519,5901477106378
1244,5901477122644
1245,5901477122873
1246,5901477133602
1247,5901477126130
1520,5901477106385
1521,5901477129964
1248,5901477122804
1249,5901477122811
1250,5901477122828
1251,5901477128455
1252,5901477129117
1253,5901477117183
1254,5901477117121
1255,5901477115219
1256,5901477115226
1257,5901477133145
1258,5901477104152
1261,5901477104169
2588,5901477109812
1263,5901477104176
1264,5901477104183
1270,5901477104220
1271,5901477104237
1272,5901477104244
1274,5901477104268
1275,5901477113567
1277,5901477104640
3077,5901477133824
1278,5901477116124
1280,5901477104664
1281,5901477112904
1282,5901477104671
1284,5901477104695
1285,5901477114984
1286,5901477131325
1287,5901477116087
1288,5901477104701
1289,5901477104718
