"imageid","ean","url","alt","is_primary"
"103","5901477141287","https://b2b.geko.pl/zasoby/import/1/104_1_25.jpg","Imagem do produto","false"
"104","5901477141300","https://b2b.geko.pl/zasoby/import/1/106_0_16652984.jpg","Imagem do produto","true"
"105","5901477141348","https://b2b.geko.pl/zasoby/import/1/110_0_5086134.jpg","Imagem do produto","true"
"106","5901477141348","https://b2b.geko.pl/zasoby/import/1/110_1_5086135.jpg","Imagem do produto","false"
"107","5901477141362","https://b2b.geko.pl/zasoby/import/1/112_0_18498811.jpg","Imagem do produto","true"
"108","5901477141386","https://b2b.geko.pl/zasoby/import/1/114_0_16653282.jpg","Imagem do produto","true"
"109","5901477141393","https://b2b.geko.pl/zasoby/import/1/115_0_16654205.jpg","Imagem do produto","true"
"110","5901477141409","https://b2b.geko.pl/zasoby/import/1/116_0_18498815.jpg","Imagem do produto","true"
"111","5901477141416","https://b2b.geko.pl/zasoby/import/1/117_0_16654259.jpg","Imagem do produto","true"
"112","5901477141423","https://b2b.geko.pl/zasoby/import/1/118_0_16654510.jpg","Imagem do produto","true"
"113","5901477141430","https://b2b.geko.pl/zasoby/import/1/119_0_18498817.jpg","Imagem do produto","true"
"114","5901477141447","https://b2b.geko.pl/zasoby/import/1/120_0_16654703.jpg","Imagem do produto","true"
"115","5901477141454","https://b2b.geko.pl/zasoby/import/1/121_0_16652544.jpg","Imagem do produto","true"
"116","5901477130946","https://b2b.geko.pl/zasoby/import/1/144_0_14575225.jpg","Imagem do produto","true"
"117","5901477130953","https://b2b.geko.pl/zasoby/import/1/145_0_14579200.jpg","Imagem do produto","true"
"118","5901477130960","https://b2b.geko.pl/zasoby/import/1/146_0_14579257.jpg","Imagem do produto","true"
"119","5901477130977","https://b2b.geko.pl/zasoby/import/1/147_0_14579268.jpg","Imagem do produto","true"
"120","5901477130984","https://b2b.geko.pl/zasoby/import/1/148_0_14575253.jpg","Imagem do produto","true"
"121","5901477130991","https://b2b.geko.pl/zasoby/import/1/149_0_14579281.jpg","Imagem do produto","true"
"122","5901477131004","https://b2b.geko.pl/zasoby/import/1/150_0_14575283.jpg","Imagem do produto","true"
"123","5901477131011","https://b2b.geko.pl/zasoby/import/1/151_0_14575296.jpg","Imagem do produto","true"
"124","5901477131035","https://b2b.geko.pl/zasoby/import/1/153_0_14575325.jpg","Imagem do produto","true"
"125","5901477131059","https://b2b.geko.pl/zasoby/import/1/155_0_14579570.jpg","Imagem do produto","true"
"126","5901477131080","https://b2b.geko.pl/zasoby/import/1/158_0_14579648.jpg","Imagem do produto","true"
"127","5901477131097","https://b2b.geko.pl/zasoby/import/1/159_0_14579712.jpg","Imagem do produto","true"
"128","5901477131103","https://b2b.geko.pl/zasoby/import/1/160_0_14579868.jpg","Imagem do produto","true"
"129","5901477131110","https://b2b.geko.pl/zasoby/import/1/161_0_14577594.jpg","Imagem do produto","true"
"130","5901477131127","https://b2b.geko.pl/zasoby/import/1/162_0_14598539.jpg","Imagem do produto","true"
"131","5901477131134","https://b2b.geko.pl/zasoby/import/1/163_1_14575410.jpg","Imagem do produto","true"
"132","5901477131141","https://b2b.geko.pl/zasoby/import/1/164_0_14577649.jpg","Imagem do produto","true"
"133","5901477131158","https://b2b.geko.pl/zasoby/import/1/165_0_14575438.jpg","Imagem do produto","true"
"134","5901477131165","https://b2b.geko.pl/zasoby/import/1/166_0_14575452.jpg","Imagem do produto","true"
"135","5901477131172","https://b2b.geko.pl/zasoby/import/1/167_0_14598991.jpg","Imagem do produto","true"
"136","5901477131189","https://b2b.geko.pl/zasoby/import/1/168_0_14599016.jpg","Imagem do produto","true"
"137","5901477131196","https://b2b.geko.pl/zasoby/import/1/169_0_14578851.jpg","Imagem do produto","true"
"138","5901477131202","https://b2b.geko.pl/zasoby/import/1/170_0_14599112.jpg","Imagem do produto","true"
"139","5901477131219","https://b2b.geko.pl/zasoby/import/1/171_0_36568.jpg","Imagem do produto","true"
"140","5901477131233","https://b2b.geko.pl/zasoby/import/1/173_0_14575504.jpg","Imagem do produto","true"
"141","5901477131240","https://b2b.geko.pl/zasoby/import/1/174_0_14575543.jpg","Imagem do produto","true"
"142","5901477141478","https://b2b.geko.pl/zasoby/import/1/175_0_35306.jpg","Imagem do produto","true"
"143","5901477141485","https://b2b.geko.pl/zasoby/import/1/176_0_35307.jpg","Imagem do produto","true"
"144","5901477141485","https://b2b.geko.pl/zasoby/import/1/176_1_35308.jpg","Imagem do produto","false"
"145","5901477141492","https://b2b.geko.pl/zasoby/import/1/177_0_35309.jpg","Imagem do produto","true"
"146","5901477141508","https://b2b.geko.pl/zasoby/import/1/178_0_37267.jpg","Imagem do produto","true"
"147","5901477141508","https://b2b.geko.pl/zasoby/import/1/178_1_37268.jpg","Imagem do produto","false"
"148","5901477141515","https://b2b.geko.pl/zasoby/import/1/179_0_35311.jpg","Imagem do produto","true"
"149","5901477141522","https://b2b.geko.pl/zasoby/import/1/180_0_35312.jpg","Imagem do produto","true"
"150","5901477141522","https://b2b.geko.pl/zasoby/import/1/180_1_35313.jpg","Imagem do produto","false"
"151","5901477130380","https://b2b.geko.pl/zasoby/import/1/183_0_16832941.jpg","Imagem do produto","true"
"152","5901477130397","https://b2b.geko.pl/zasoby/import/1/184_0_16832973.jpg","Imagem do produto","true"
"153","5901477130410","https://b2b.geko.pl/zasoby/import/1/186_0_16833016.jpg","Imagem do produto","true"
"154","5901477141539","https://b2b.geko.pl/zasoby/import/1/187_0_16833049.jpg","Imagem do produto","true"
"155","5901477130427","https://b2b.geko.pl/zasoby/import/1/188_0_16833086.jpg","Imagem do produto","true"
"156","5901477130434","https://b2b.geko.pl/zasoby/import/1/189_0_16833133.jpg","Imagem do produto","true"
"157","5901477130441","https://b2b.geko.pl/zasoby/import/1/190_0_16833439.jpg","Imagem do produto","true"
"158","5901477130441","https://b2b.geko.pl/zasoby/import/1/190_1_16833443.jpg","Imagem do produto","false"
"159","5901477130458","https://b2b.geko.pl/zasoby/import/1/191_0_16833490.jpg","Imagem do produto","true"
"160","5901477130465","https://b2b.geko.pl/zasoby/import/1/192_0_16833538.jpg","Imagem do produto","true"
"161","5901477130472","https://b2b.geko.pl/zasoby/import/1/193_0_16833585.jpg","Imagem do produto","true"
